work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size,work_type
2020,Mid,Full-time,Data Scientist,79833,DE,0,DE,Large,Onsite
2020,Senior,Full-time,Machine Learning Scientist,260000,JP,0,JP,Small,Onsite
2020,Senior,Full-time,Big Data Engineer,109024,GB,50,GB,Medium,Hybrid
2020,Mid,Full-time,Product Data Analyst,20000,HN,0,HN,Small,Onsite
2020,Senior,Full-time,Machine Learning Engineer,150000,US,50,US,Large,Hybrid
2020,Entry,Full-time,Data Analyst,72000,US,100,US,Large,Remote
2020,Senior,Full-time,Lead Data Scientist,190000,US,100,US,Small,Remote
2020,Mid,Full-time,Data Scientist,35735,HU,50,HU,Large,Hybrid
2020,Mid,Full-time,Business Data Analyst,135000,US,100,US,Large,Remote
2020,Senior,Full-time,Lead Data Engineer,125000,NZ,50,NZ,Small,Hybrid
2020,Entry,Full-time,Data Scientist,51321,FR,0,FR,Small,Onsite
2020,Mid,Full-time,Data Scientist,40481,IN,0,IN,Large,Onsite
2020,Entry,Full-time,Data Scientist,39916,FR,0,FR,Medium,Onsite
2020,Mid,Full-time,Lead Data Analyst,87000,US,100,US,Large,Remote
2020,Mid,Full-time,Data Analyst,85000,US,100,US,Large,Remote
2020,Mid,Full-time,Data Analyst,8000,PK,50,PK,Large,Hybrid
2020,Entry,Full-time,Data Engineer,41689,JP,100,JP,Small,Remote
2020,Senior,Full-time,Big Data Engineer,114047,PL,100,GB,Small,Remote
2020,Entry,Full-time,Data Science Consultant,5707,IN,50,IN,Medium,Hybrid
2020,Mid,Full-time,Lead Data Engineer,56000,PT,100,US,Medium,Remote
2020,Mid,Full-time,Machine Learning Engineer,43331,CN,0,CN,Medium,Onsite
2020,Mid,Full-time,Product Data Analyst,6072,IN,100,IN,Large,Remote
2020,Senior,Full-time,Data Engineer,47899,GR,50,GR,Large,Hybrid
2020,Mid,Full-time,BI Data Analyst,98000,US,0,US,Medium,Onsite
2020,Mid,Full-time,Lead Data Scientist,115000,AE,0,AE,Large,Onsite
2020,Executive,Full-time,Director of Data Science,325000,US,100,US,Large,Remote
2020,Entry,Full-time,Research Scientist,42000,NL,50,NL,Large,Hybrid
2020,Senior,Full-time,Data Engineer,33511,MX,0,MX,Small,Onsite
2020,Entry,Contract,Business Data Analyst,100000,US,100,US,Large,Remote
2020,Senior,Full-time,Machine Learning Manager,117104,CA,50,CA,Large,Hybrid
2020,Mid,Full-time,Data Engineering Manager,59303,DE,100,DE,Small,Remote
2020,Entry,Full-time,Big Data Engineer,70000,US,100,US,Large,Remote
2020,Senior,Full-time,Data Scientist,68428,GR,100,US,Large,Remote
2020,Mid,Full-time,Research Scientist,450000,US,0,US,Medium,Onsite
2020,Mid,Full-time,Data Analyst,46759,FR,50,FR,Large,Hybrid
2020,Mid,Full-time,Data Engineer,74130,AT,50,AT,Large,Hybrid
2020,Mid,Full-time,Data Science Consultant,103000,US,100,US,Large,Remote
2020,Entry,Full-time,Machine Learning Engineer,250000,US,50,US,Large,Hybrid
2020,Entry,Full-time,Data Analyst,10000,NG,100,NG,Small,Remote
2020,Entry,Full-time,Machine Learning Engineer,138000,US,100,US,Small,Remote
2020,Mid,Full-time,Data Scientist,45760,PH,100,US,Small,Remote
2020,Executive,Full-time,Data Engineering Manager,79833,ES,50,ES,Large,Hybrid
2020,Mid,Full-time,Machine Learning Infrastructure Engineer,50180,PT,0,PT,Medium,Onsite
2020,Mid,Full-time,Data Engineer,106000,US,100,US,Large,Remote
2020,Mid,Full-time,Data Engineer,112872,GB,50,GB,Large,Hybrid
2020,Entry,Part-time,ML Engineer,15966,DE,100,DE,Small,Remote
2020,Mid,Full-time,Data Scientist,76958,GB,100,GB,Small,Remote
2020,Senior,Full-time,Data Engineer,188000,US,100,US,Large,Remote
2020,Mid,Full-time,Data Scientist,105000,US,100,US,Large,Remote
2020,Mid,Full-time,Data Engineer,70139,FR,50,FR,Large,Hybrid
2020,Entry,Full-time,Data Analyst,6072,IN,0,IN,Small,Onsite
